#{"t_start": 1782840714.3012211, "env_id": "None"}
r,l,t
-6829.517454,40,21.468055
-6629.992749,40,21.539509
-5751.108349,40,21.609269
-6215.984835,40,21.678802
-6099.664927,40,21.744015
-6478.105626,40,21.808284
-5791.633223,40,21.875122
-6364.169224,40,21.943767
-6119.756258,40,22.032521
-5285.416696,40,22.110995
-5886.214319,40,22.188817
-5963.90259,40,22.266555
-5600.175465,40,22.359568
-5877.419973,40,22.426285
-6798.300883,40,22.491377
-6478.129416,40,22.557153
-6389.041462,40,22.622857
-6059.063884,40,22.687889
-5986.181047,40,22.754802
-5560.426484,40,22.820958
-5689.947704,40,22.888082
-5595.446286,40,22.965728
-5421.157586,40,23.031058
-5182.808973,40,23.106639
-6218.066653,40,23.174699
-5851.029629,40,23.241556
-5989.300426,40,23.307907
-7087.946926,40,23.374155
-5951.287336,40,23.438894
-5308.17006,40,23.507258
-5204.861965,40,23.572842
-5157.795547,40,23.639416
-5895.697536,40,23.703562
-5214.7418,40,23.76996
-4851.039027,40,23.835666
-5566.525605,40,23.902973
-5822.080877,40,23.968432
-5279.716896,40,24.034087
-5383.157465,40,24.101483
-6061.322748,40,24.170177
-6358.299037,40,24.260667
-5974.010674,40,24.352696
-6150.902963,40,24.43193
-5347.689904,40,24.505033
-6111.700118,40,24.577171
-6214.247029,40,24.646173
-6545.213709,40,24.714867
-6691.174567,40,24.815022
-5876.457566,40,24.902653
-6691.365933,40,24.986503
-7131.182763,40,25.078097
-6682.555566,40,25.165574
-7245.224129,40,25.256106
-6486.233155,40,25.342341
-6039.860349,40,25.428487
-6417.60755,40,25.513104
-7057.977053,40,25.599182
-5896.224992,40,25.68558
-6171.286082,40,25.771942
-6449.771132,40,25.859265
-5764.554228,40,25.945494
-7291.595631,40,26.030322
-7315.942625,40,26.116107
-5434.177856,40,26.204406
-6380.692584,40,26.292239
-6914.553163,40,26.37921
-6533.462078,40,26.466547
-6615.165733,40,26.553034
-7653.477467,40,26.719714
-6682.025651,40,26.82946
-6489.357338,40,26.916977
-6080.397243,40,27.010478
-5779.287848,40,27.099054
-5778.779817,40,27.184147
-5661.308815,40,27.271089
-5885.367045,40,27.357768
-5462.700751,40,27.44606
-5449.907582,40,27.532484
-6810.307429,40,27.620528
-7333.224879,40,27.709948
-6596.711852,40,27.806824
-6815.612882,40,27.904
-6747.576791,40,28.003373
-7363.171132,40,28.104374
-6032.461782,40,28.205239
-5636.449457,40,28.304648
-6790.207458,40,28.447282
-5895.686836,40,28.528253
-5791.81188,40,28.607043
-6304.461251,40,28.687862
-6125.962917,40,28.767623
-7448.386688,40,28.842314
-7448.016902,40,28.919995
-5949.359125,40,28.992872
-7046.855737,40,29.065015
-7073.546299,40,29.157909
-7200.923914,40,29.229888
-6793.894728,40,29.300357
-8213.728651,40,29.370504
-8625.7498,40,29.440821
-8777.872554,40,29.511048
-8154.358104,40,29.581815
-7564.366156,40,29.651166
-7384.377807,40,29.720009
-8001.674851,40,29.789412
-7875.969666,40,29.859908
-7144.435597,40,29.928481
-6889.105029,40,30.000932
-6547.434529,40,30.071533
-6437.415534,40,30.14054
-6440.800712,40,30.210112
-6574.425388,40,30.279199
-7067.670886,40,30.353534
-5738.682238,40,30.426364
-6318.115041,40,30.495378
-5917.428831,40,30.565929
-6324.707386,40,30.634296
-6423.089397,40,30.702496
-6929.287061,40,30.770159
-6418.301241,40,30.840057
-5558.877128,40,30.908065
-4780.444258,40,30.976636
-4916.580294,40,31.045689
-5065.548306,40,31.115402
-5962.434038,40,31.183565
-6287.858359,40,31.252894
-6189.728647,40,31.323179
-6053.959908,40,31.394309
-6278.659215,40,31.463733
-6391.372334,40,31.532279
-6457.150146,40,31.600427
-5367.842129,40,31.668933
-5539.175423,40,31.740548
-6492.850672,40,31.809631
-6595.308219,40,31.879589
-6094.764057,40,31.948167
-6366.448943,40,32.017586
-7196.786659,40,32.085782
-7037.467987,40,32.151847
-7780.036144,40,32.220422
-7312.823398,40,32.288053
-7664.876488,40,32.358199
-7212.818208,40,32.429557
-6652.993128,40,32.498345
-6096.926008,40,32.564996
-6579.056242,40,32.634329
-5815.343577,40,32.700777
-6151.726997,40,32.770552
-7074.422555,40,32.838418
-7039.740686,40,32.907768
-6577.424197,40,32.975657
-6131.240789,40,33.046141
-6027.543216,40,33.116048
